year,cznuts_cz,nuts,cznuts_en,school_type_cz,school_type_en,total_teachers,women,men,qualified,unqualified
2006,Česká republika,CZ0,Czech Republic,Regionální školství,All Schools,199094.1,157035.8,42058.3,170781.8,28312.3
2006,Česká republika,CZ0,Czech Republic,Střední škola,Upper-Secondary School,47352.1,27428.2,19923.9,40225.6,7126.5
2006,Česká republika,CZ0,Czech Republic,Vyšší odborná škola,Tertiary Professional School,1922.6,1201.3,721.3,1822.8,99.8
2006,Česká republika,CZ0,Czech Republic,Mateřská škola,Nursery School,22484.6,22466.5,18.1,21055.2,1429.4
2006,Česká republika,CZ0,Czech Republic,Konzervatoř,Conservatoiry,1019.6,514.4,505.2,998.8,20.8
2006,Česká republika,CZ0,Czech Republic,ZŠ - na 1. stupni,Basic School - Primary,27586,26185,1401,22761.2,4824.8
2006,Česká republika,CZ0,Czech Republic,"Základní škola - přípravné třídy
a přípravný stupeň",Basic School - Preparatory Class,,,,,
2006,Česká republika,CZ0,Czech Republic,ZŠ - na 2. stupni,Basic School - Lower-Secondary,35571.6,26527.7,9043.9,30578.5,4993.1
2007,Česká republika,CZ0,Czech Republic,Regionální školství,All Schools,198011,156221.5,41789.5,170154.7,27856.3
2007,Česká republika,CZ0,Czech Republic,Střední škola,Upper-Secondary School,47452,27691,19761,40396,7056
2007,Česká republika,CZ0,Czech Republic,Vyšší odborná škola,Tertiary Professional School,1792.2,1098.8,693.4,1681.1,111.1
2007,Česká republika,CZ0,Czech Republic,Mateřská škola,Nursery School,22367.7,22344,23.7,20821.8,1545.9
2007,Česká republika,CZ0,Czech Republic,Konzervatoř,Conservatoiry,1083.9,558.9,525,1069.8,14.1
2007,Česká republika,CZ0,Czech Republic,ZŠ - na 1. stupni,Basic School - Primary,27727.1,26286.1,1441,23188.9,4538.2
2007,Česká republika,CZ0,Czech Republic,"Základní škola - přípravné třídy
a přípravný stupeň",Basic School - Preparatory Class,,,,,
2007,Česká republika,CZ0,Czech Republic,ZŠ - na 2. stupni,Basic School - Lower-Secondary,34930.5,25978.3,8952.2,29904.1,5026.4
2006,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,63157.6,52712.7,10444.9,53339.7,9817.9
2007,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,62657.6,52264.4,10393.2,53093,9564.6
2008,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,60973.2,50967.3,10005.9,51382.9,9590.3
2009,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,59492.3,49912.6,9579.7,50548.4,8943.9
2010,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,58417.3,48997.6,9419.7,50144.9,8272.4
2011,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,58023,48803.7,9219.3,50373,7650
2012,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,57814.8,48738,9076.8,49657.3,8157.5
2013,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,57668.9,48581.3,9087.6,50834.5,6834.4
2014,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,58269.1,49118.9,9150.2,51949.4,6319.7
2015,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,59128.7,49934.2,9194.5,53905.6,5223.1
2016,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,60220.7,50876.5,9344.2,56797.3,3423.4
2008,Česká republika,CZ0,Czech Republic,Regionální školství,All Schools,194660.3,153770.2,40890.1,166963.3,27697
2008,Česká republika,CZ0,Czech Republic,Střední škola,Upper-Secondary School,47124.3,27530.9,19593.4,40274.5,6849.8
2008,Česká republika,CZ0,Czech Republic,Vyšší odborná škola,Tertiary Professional School,1799,1067.4,731.6,1699.2,99.8
2008,Česká republika,CZ0,Czech Republic,Mateřská škola,Nursery School,22744.3,22717.3,27,21186.2,1558.1
2008,Česká republika,CZ0,Czech Republic,Konzervatoř,Conservatoiry,1046.3,520,526.3,1037.6,8.7
2008,Česká republika,CZ0,Czech Republic,ZŠ - na 1. stupni,Basic School - Primary,27520,26146.2,1373.8,23078.9,4441.1
2008,Česká republika,CZ0,Czech Republic,"Základní škola - přípravné třídy
a přípravný stupeň",Basic School - Preparatory Class,,,,,
2008,Česká republika,CZ0,Czech Republic,ZŠ - na 2. stupni,Basic School - Lower-Secondary,33453.2,24821.1,8632.1,28304,5149.2
2017,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,61634.9,52254.4,9380.5,58080.8,3554.1
2018,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,63004.8,53346.7,9658.1,59076.3,3928.5
2019,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,64345.3,54400.9,9944.4,59980.4,4364.9
2020,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,67040.9,56534.3,10506.6,61728.4,5312.5
2021,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,69534.9,58408,11126.9,63634.1,5900.8
2022,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,71325.3,59744.7,11580.6,64850.8,6474.5
2023,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,73725.8,61710.5,12015.3,66516.4,7209.4
2024,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,74982.4,62812.4,12170,67466.6,7515.8
2009,Česká republika,CZ0,Czech Republic,Regionální školství,All Schools,192103,152294.1,39808.9,165813.9,26289.1
2009,Česká republika,CZ0,Czech Republic,Střední škola,Upper-Secondary School,46734.9,27334.3,19400.6,40306.6,6428.3
2009,Česká republika,CZ0,Czech Republic,Vyšší odborná škola,Tertiary Professional School,1815.2,1098.9,716.3,1716.8,98.4
2009,Česká republika,CZ0,Czech Republic,Mateřská škola,Nursery School,23567.8,23533.4,34.4,21703.5,1864.3
2009,Česká republika,CZ0,Czech Republic,Konzervatoř,Conservatoiry,1000.5,502.3,498.2,990.2,10.3
2009,Česká republika,CZ0,Czech Republic,ZŠ - na 1. stupni,Basic School - Primary,27529.2,26167.9,1361.3,23335.8,4193.4
2009,Česká republika,CZ0,Czech Republic,"Základní škola - přípravné třídy
a přípravný stupeň",Basic School - Preparatory Class,,,,,
2009,Česká republika,CZ0,Czech Republic,ZŠ - na 2. stupni,Basic School - Lower-Secondary,31963.1,23744.7,8218.4,27212.6,4750.5
2010,Česká republika,CZ0,Czech Republic,Regionální školství,All Schools,190954.4,151661,39293.4,165723.7,25230.7
2010,Česká republika,CZ0,Czech Republic,Střední škola,Upper-Secondary School,46488.8,27242.9,19245.9,40164.4,6324.4
2010,Česká republika,CZ0,Czech Republic,Vyšší odborná škola,Tertiary Professional School,1806.2,1115.4,690.8,1710.2,96
2010,Česká republika,CZ0,Czech Republic,Mateřská škola,Nursery School,24584.3,24542.2,42.1,22400.8,2183.5
2010,Česká republika,CZ0,Czech Republic,Konzervatoř,Conservatoiry,997.9,524.7,473.2,990.8,7.1
