academic_year,region_czso_id,region_name,url_czso,url_json
2006,3018,Hlavní m?sto Praha,https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2006&u=v23__VUZEMI__100__3018,"""https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2006&u=v23__VUZEMI__100__3018"","
2006,3026,St?edo?eský kraj,https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2006&u=v23__VUZEMI__100__3026,"""https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2006&u=v23__VUZEMI__100__3026"","
2006,3034,Jiho?eský kraj,https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2006&u=v23__VUZEMI__100__3034,"""https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2006&u=v23__VUZEMI__100__3034"","
2006,3042,Plze?ský kraj,https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2006&u=v23__VUZEMI__100__3042,"""https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2006&u=v23__VUZEMI__100__3042"","
2006,3051,Karlovarský kraj,https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2006&u=v23__VUZEMI__100__3051,"""https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2006&u=v23__VUZEMI__100__3051"","
2006,3069,Ústecký kraj,https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2006&u=v23__VUZEMI__100__3069,"""https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2006&u=v23__VUZEMI__100__3069"","
2006,3077,Liberecký kraj,https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2006&u=v23__VUZEMI__100__3077,"""https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2006&u=v23__VUZEMI__100__3077"","
2006,3085,Královéhradecký kraj,https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2006&u=v23__VUZEMI__100__3085,"""https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2006&u=v23__VUZEMI__100__3085"","
2006,3093,Pardubický kraj,https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2006&u=v23__VUZEMI__100__3093,"""https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2006&u=v23__VUZEMI__100__3093"","
2006,3107,Kraj Vyso?ina,https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2006&u=v23__VUZEMI__100__3107,"""https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2006&u=v23__VUZEMI__100__3107"","
