year,cznuts_cz,nuts,cznuts_en,school_type_cz,school_type_en,total_teachers,women,men,qualified,unqualified,school_cluster_code,men_percent,salary_women,salary_men,salary_total,salary_proportion_m_w,paygap_w_m
2017,Česká republika,CZ0,Czech Republic,Regionální školství,All Schools,193927.6,158780.6,35147,184011.9,9915.7,ALL,0.19,30215.1,31410.99,30447.38,0.961927637,-1195.89
2018,Česká republika,CZ0,Czech Republic,Regionální školství,All Schools,197235.9,161603.6,35632.3,186702.2,10533.7,ALL,0.19,33544.9,34954.9,33818.2,0.959662308,-1410
2019,Česká republika,CZ0,Czech Republic,Regionální školství,All Schools,200195.3,163966.4,36228.9,188621.6,11573.7,ALL,0.18,39228.9,40299.6,39422.3,0.973431498,-1070.7
2020,Česká republika,CZ0,Czech Republic,Regionální školství,All Schools,208306,170612.1,37693.9,193882.6,14423.4,ALL,0.18,43144.2,44086.3,43315,0.97863055,-942.1
2021,Česká republika,CZ0,Czech Republic,Regionální školství,All Schools,215073.4,175647.5,39425.9,199063,16010.4,ALL,0.18,46561.3,47703.7,46769.6,0.976052172,-1142.4
2022,Česká republika,CZ0,Czech Republic,Regionální školství,All Schools,220585.4,179742.4,40843,203194,17391.4,ALL,0.18,46764.9,48372.1,47060.8,0.966774236,-1607.2
2024,Česká republika,CZ0,Czech Republic,Regionální školství,All Schools,232009.6,188895.9,43113.7,211834.7,20174.9,ALL,0.2,48376.7,50896.5,48881.2,0.950491684,-2519.8
2023,Česká republika,CZ0,Czech Republic,Regionální školství,All Schools,227501.5,185247.3,42254.2,208381.7,19119.8,ALL,0.2,47677.8,50046.6,48150.3,0.952668113,-2368.8
2010,Česká republika,CZ0,Czech Republic,Regionální školství,All Schools,190954.4,151661,39293.4,165723.7,25230.7,ALL,0.21,23339.29,25009.97,23695.08,0.933199502,-1670.68
2011,Česká republika,CZ0,Czech Republic,Regionální školství,All Schools,190318.2,151972.8,38345.4,166440.8,23877.4,ALL,0.21,24413.53,25977.69,24736.72,0.939788259,-1564.16
