year,school_type,school_cluster_code,school_type_en,cznuts_cz,cznuts3,cznuts_en,men_percent,salary_women,salary_men,salary_total,salary_proportion_m_w,paygap_w_m
2010,Total,ALL,All Schools,Česká republika,CZ0,Czech Republic,0.21,"23,339.29","25,009.97","23,695.08",0.93,"-1,670.68"
2010,ZS,ZS_SEN_1,Basic School,Česká republika,CZ0,Czech Republic,0.14,"24,043.68","24,100.24","24,051.37",1,-56.56
2010,MS,MS,Nursery School,Česká republika,CZ0,Czech Republic,0,"18,893.43","16,659.69","18,888.61",,
2010,SS,SS_VOS_K,Upper-Secondary School,Česká republika,CZ0,Czech Republic,0.36,"25,894.01","26,506.26","26,111.66",0.98,-612.25
2010,Total,ALL,All Schools,Hlavní město Praha,CZ010,Prague,0.2,"23,951.79","26,142.07","24,397.11",0.92,"-2,190.28"
2010,ZS,ZS_SEN_1,Basic School,Hlavní město Praha,CZ010,Prague,0.12,"23,978.09","23,485.05","23,916.80",1.02,493.03
2010,MS,MS,Nursery School,Hlavní město Praha,CZ010,Prague,0,"18,831.86",,"18,821.46",,
2010,SS,SS_VOS_K,Upper-Secondary School,Hlavní město Praha,CZ010,Prague,0.33,"27,445.61","27,542.14","27,477.54",1,-96.53
2010,Total,ALL,All Schools,Středočeský kraj,CZ020,Central Bohemian Region,0.19,"23,602.10","25,127.34","23,887.17",0.94,"-1,525.24"
2010,ZS,ZS_SEN_1,Basic School,Středočeský kraj,CZ020,Central Bohemian Region,0.11,"24,605.38","24,522.52","24,595.89",1,82.86
2010,MS,MS,Nursery School,Středočeský kraj,CZ020,Central Bohemian Region,0,"19,068.65",,"19,065.82",,
2010,SS,SS_VOS_K,Upper-Secondary School,Středočeský kraj,CZ020,Central Bohemian Region,0.34,"25,899.57","26,487.88","26,101.86",0.98,-588.31
2010,Total,ALL,All Schools,Jihočeský kraj,CZ031,South Bohemian Region,0.24,"23,352.72","25,076.56","23,763.98",0.93,"-1,723.84"
2010,ZS,ZS_SEN_1,Basic School,Jihočeský kraj,CZ031,South Bohemian Region,0.15,"24,156.17","24,643.37","24,228.29",0.98,-487.21
2010,MS,MS,Nursery School,Jihočeský kraj,CZ031,South Bohemian Region,0,"19,561.04",,"19,559.05",,
2010,SS,SS_VOS_K,Upper-Secondary School,Jihočeský kraj,CZ031,South Bohemian Region,0.37,"25,432.25","26,607.38","25,867.96",0.96,"-1,175.13"
2010,Total,ALL,All Schools,Plzeňský kraj,CZ032,Plzeň Region,0.21,"23,480.39","24,854.24","23,763.98",0.94,"-1,373.85"
2010,ZS,ZS_SEN_1,Basic School,Plzeňský kraj,CZ032,Plzeň Region,0.12,"24,381.90","24,380.82","24,381.76",1,1.08
2010,MS,MS,Nursery School,Plzeňský kraj,CZ032,Plzeň Region,0,"19,009.89",,"19,016.33",,
2010,SS,SS_VOS_K,Upper-Secondary School,Plzeňský kraj,CZ032,Plzeň Region,0.34,"25,892.59","26,111.98","25,968.08",0.99,-219.39
2010,Total,ALL,All Schools,Karlovarský kraj,CZ041,Karlovy Vary Region,0.23,"23,550.15","25,239.17","23,940.16",0.93,"-1,689.03"
2010,ZS,ZS_SEN_1,Basic School,Karlovarský kraj,CZ041,Karlovy Vary Region,0.15,"23,648.34","23,332.05","23,602.22",1.01,316.29
2010,MS,MS,Nursery School,Karlovarský kraj,CZ041,Karlovy Vary Region,0,"18,883.54",,"18,883.54",,
2010,SS,SS_VOS_K,Upper-Secondary School,Karlovarský kraj,CZ041,Karlovy Vary Region,0.35,"26,162.82","27,145.90","26,508.16",0.96,-983.08
2010,Total,ALL,All Schools,Ústecký kraj,CZ042,Ústí nad Labem Region,0.22,"23,931.16","25,226.61","24,213.22",0.95,"-1,295.46"
2010,ZS,ZS_SEN_1,Basic School,Ústecký kraj,CZ042,Ústí nad Labem Region,0.12,"24,286.59","23,983.79","24,248.78",1.01,302.8
2010,MS,MS,Nursery School,Ústecký kraj,CZ042,Ústí nad Labem Region,0,"19,147.48",,"19,143.93",,
2010,SS,SS_VOS_K,Upper-Secondary School,Ústecký kraj,CZ042,Ústí nad Labem Region,0.36,"26,414.78","26,834.49","26,566.77",0.98,-419.71
2010,Total,ALL,All Schools,Liberecký kraj,CZ051,Liberec Region,0.23,"23,486.05","25,146.47","23,870.65",0.93,"-1,660.43"
2010,ZS,ZS_SEN_1,Basic School,Liberecký kraj,CZ051,Liberec Region,0.14,"24,239.54","24,301.31","24,248.03",1,-61.76
2010,MS,MS,Nursery School,Liberecký kraj,CZ051,Liberec Region,0,"19,384.12",,"19,384.12",,
2010,SS,SS_VOS_K,Upper-Secondary School,Liberecký kraj,CZ051,Liberec Region,0.4,"25,360.13","26,149.36","25,672.53",0.97,-789.23
